"analysisId","analysisDescription","outcomeId","outcomeName","comparatorId","comparatorName","targetId","targetName","rr","ci95lb","ci95ub","p","target","comparator","targetDays","comparatorDays","eventsTarget","eventsComparator","logRr","seLogRr","llr"
1,"OT - PS matching",30234,"Neck sprain",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",4114197,"Tumor of hypothalamus",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",134765,"Cachexia",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",377535,"Sleep walking disorder",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",194997,"Prostatitis",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",1792374,"[GDE2025_Antiplatelet] Secondary outcome - GI bleeding",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4013,6697,1,0,NA,NA,NA
1,"OT - PS matching",436100,"Narcolepsy",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",377910,"Deviated nasal septum",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",1792369,"[GDE2025_Antiplatelet] Secondary outcome - Ischemic event",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",0.135335283236613,NA,1.9661485474312,NA,16,16,4014,4251,0,3,-2,NA,1.13243833903395
1,"OT - PS matching",261880,"Atelectasis",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",135215,"Hashimoto thyroiditis",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",30441,"Sialolithiasis",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",199074,"Acute pancreatitis",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",4135082,"Dislocation of distal radioulnar joint",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",1792365,"[GDE2025_Antiplatelet] Secondary outcome - Cardiovascular mortality",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,1,0,NA,NA,NA
1,"OT - PS matching",138463,"Aphthous ulcer of mouth",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",72418,"Scoliosis deformity of spine",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",1792370,"[GDE2025_Antiplatelet] Secondary outcome - AMI",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",0.135335283236613,NA,1.9661485474312,NA,16,16,4014,6571,0,2,-2,NA,1.13243833903395
1,"OT - PS matching",4142905,"Fracture of rib",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",199861,"Perianal abscess",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",75576,"Irritable bowel syndrome",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",436676,"Posttraumatic stress disorder",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",381581,"Chalazion",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",440424,"Aphasia",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",380094,"Carpal tunnel syndrome",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",72576,"Benign tumor of breast",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",201792,"Nongonococcal urethritis",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",376707,"Acute conjunctivitis",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",4150372,"Acute otitis media",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",4047787,"Colles' fracture",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",1792372,"[GDE2025_Antiplatelet] Secondary outcome - Stroke(hemorrhagic)",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",1792367,"[GDE2025_Antiplatelet] Primary outcome - MACE",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",9.59713049391343e-10,NA,1.6128994352159,NA,16,16,4014,4251,1,3,-20.7643867830323,NA,1.38629435728104
1,"OT - PS matching",140168,"Psoriasis",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
1,"OT - PS matching",198202,"Cystocele",1793457,"[GDE2025_Antiplatelet] Prasugrel cohort - Revised (2025.06.17)",1792797,"[GDE2025_Antiplatelet] Ticagrelor cohort - Revised (2025.06.17)",NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA
