covariate_analysis_id,covariate_analysis_name,analysis_id
804,ObservationShortTerm,1
204,ConditionEraShortTerm,1
410,DrugGroupEraLongTerm,1
412,DrugGroupEraShortTerm,1
7,DemographicsIndexMonth,1
502,ProcedureOccurrenceLongTerm,1
710,MeasurementRangeGroupLongTerm,1
404,DrugEraShortTerm,1
5,DemographicsEthnicity,1
3,DemographicsAgeGroup,1
402,DrugEraLongTerm,1
212,ConditionGroupEraShortTerm,1
4,DemographicsRace,1
704,MeasurementShortTerm,1
202,ConditionEraLongTerm,1
1,DemographicsGender,1
802,ObservationLongTerm,1
413,DrugGroupEraOverlapping,1
504,ProcedureOccurrenceShortTerm,1
602,DeviceExposureLongTerm,1
702,MeasurementLongTerm,1
6,DemographicsIndexYear,1
210,ConditionGroupEraLongTerm,1
604,DeviceExposureShortTerm,1
804,ObservationShortTerm,2
204,ConditionEraShortTerm,2
410,DrugGroupEraLongTerm,2
412,DrugGroupEraShortTerm,2
7,DemographicsIndexMonth,2
502,ProcedureOccurrenceLongTerm,2
710,MeasurementRangeGroupLongTerm,2
404,DrugEraShortTerm,2
5,DemographicsEthnicity,2
3,DemographicsAgeGroup,2
402,DrugEraLongTerm,2
212,ConditionGroupEraShortTerm,2
4,DemographicsRace,2
704,MeasurementShortTerm,2
202,ConditionEraLongTerm,2
1,DemographicsGender,2
802,ObservationLongTerm,2
413,DrugGroupEraOverlapping,2
504,ProcedureOccurrenceShortTerm,2
602,DeviceExposureLongTerm,2
702,MeasurementLongTerm,2
6,DemographicsIndexYear,2
210,ConditionGroupEraLongTerm,2
604,DeviceExposureShortTerm,2
804,ObservationShortTerm,3
204,ConditionEraShortTerm,3
410,DrugGroupEraLongTerm,3
412,DrugGroupEraShortTerm,3
7,DemographicsIndexMonth,3
502,ProcedureOccurrenceLongTerm,3
710,MeasurementRangeGroupLongTerm,3
404,DrugEraShortTerm,3
5,DemographicsEthnicity,3
3,DemographicsAgeGroup,3
402,DrugEraLongTerm,3
212,ConditionGroupEraShortTerm,3
4,DemographicsRace,3
704,MeasurementShortTerm,3
202,ConditionEraLongTerm,3
1,DemographicsGender,3
802,ObservationLongTerm,3
413,DrugGroupEraOverlapping,3
504,ProcedureOccurrenceShortTerm,3
602,DeviceExposureLongTerm,3
702,MeasurementLongTerm,3
