"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
0,1,1,1,1,1,1,16,16,1792797,1793457,1792364,1,"YUHS"
12,0.9375,0.8261,1,1,1,1,NA,NA,1792797,1793457,1792364,1,"YUHS"
100,0.9375,0.8261,1,1,1,1,11,12,1792797,1793457,1792364,1,"YUHS"
200,0.9375,0.8261,1,1,1,1,10,9,1792797,1793457,1792364,1,"YUHS"
300,0.9375,0.8261,1,1,1,1,6,7,1792797,1793457,1792364,1,"YUHS"
400,0.9375,0.8261,1,1,1,1,5,-5,1792797,1793457,1792364,1,"YUHS"
500,0.9375,0.8261,1,1,1,1,-5,-5,1792797,1793457,1792364,1,"YUHS"
0,1,1,1,1,1,1,819,16,1792797,1793457,1792364,2,"YUHS"
2,0.9976,0.9903,0.9994,1,1,1,NA,NA,1792797,1793457,1792364,2,"YUHS"
3,0.9963,0.9886,0.9988,1,1,1,NA,NA,1792797,1793457,1792364,2,"YUHS"
6,0.9951,0.9869,0.9981,1,1,1,NA,NA,1792797,1793457,1792364,2,"YUHS"
7,0.99,0.9801,0.995,1,1,1,NA,NA,1792797,1793457,1792364,2,"YUHS"
12,0.9887,0.9784,0.9941,1,1,1,NA,NA,1792797,1793457,1792364,2,"YUHS"
23,0.9872,0.9764,0.9931,1,1,1,NA,NA,1792797,1793457,1792364,2,"YUHS"
100,0.9872,0.9764,0.9931,1,1,1,590,12,1792797,1793457,1792364,2,"YUHS"
163,0.9853,0.9735,0.9919,1,1,1,NA,NA,1792797,1793457,1792364,2,"YUHS"
200,0.9853,0.9735,0.9919,1,1,1,495,9,1792797,1793457,1792364,2,"YUHS"
256,0.9831,0.9702,0.9905,1,1,1,NA,NA,1792797,1793457,1792364,2,"YUHS"
280,0.9809,0.9669,0.9891,1,1,1,NA,NA,1792797,1793457,1792364,2,"YUHS"
300,0.9809,0.9669,0.9891,1,1,1,428,7,1792797,1793457,1792364,2,"YUHS"
339,0.9784,0.9631,0.9874,1,1,1,NA,NA,1792797,1793457,1792364,2,"YUHS"
400,0.9784,0.9631,0.9874,1,1,1,188,-5,1792797,1793457,1792364,2,"YUHS"
0,1,1,1,1,1,1,169,17,1792797,1793457,1792364,4,"YUHS"
2,0.9941,0.959,0.9992,1,1,1,NA,NA,1792797,1793457,1792364,4,"YUHS"
7,0.9763,0.9386,0.991,1,1,1,NA,NA,1792797,1793457,1792364,4,"YUHS"
